	Rewards	Avg_Rewards	Epsilon	Steps
0	34.0	34.0	1.0	34
1	12.0	23.0	1.0	12
2	20.0	22.0	0.9997	20
3	26.0	23.0	0.9971000000000003	26
4	11.0	20.6	0.9960000000000004	11
5	23.0	21.0	0.9937000000000007	23
6	19.0	20.714285714285715	0.9918000000000009	19
7	21.0	20.75	0.9897000000000011	21
8	12.0	19.77777777777778	0.9885000000000013	12
9	32.0	21.0	0.9853000000000016	32
10	19.0	20.818181818181817	0.9834000000000018	19
11	11.0	20.0	0.982300000000002	11
12	16.0	19.692307692307693	0.9807000000000021	16
13	12.0	19.142857142857142	0.9795000000000023	12
14	22.0	19.333333333333332	0.9773000000000025	22
15	12.0	18.875	0.9761000000000026	12
16	14.0	18.58823529411765	0.9747000000000028	14
17	16.0	18.444444444444443	0.973100000000003	16
18	17.0	18.36842105263158	0.9714000000000031	17
19	13.0	18.1	0.9701000000000033	13
20	12.0	17.80952380952381	0.9689000000000034	12
21	28.0	18.272727272727273	0.9661000000000037	28
22	29.0	18.73913043478261	0.963200000000004	29
23	20.0	18.791666666666668	0.9612000000000043	20
24	11.0	18.48	0.9601000000000044	11
25	15.0	18.346153846153847	0.9586000000000046	15
26	16.0	18.25925925925926	0.9570000000000047	16
27	14.0	18.107142857142858	0.9556000000000049	14
28	37.0	18.75862068965517	0.9519000000000053	37
29	10.0	18.466666666666665	0.9509000000000054	10
30	18.0	18.451612903225808	0.9491000000000056	18
31	17.0	18.40625	0.9474000000000058	17
32	23.0	18.545454545454547	0.945100000000006	23
33	23.0	18.676470588235293	0.9428000000000063	23
34	21.0	18.742857142857144	0.9407000000000065	21
35	14.0	18.61111111111111	0.9393000000000067	14
36	30.0	18.91891891891892	0.936300000000007	30
37	46.0	19.63157894736842	0.9317000000000075	46
38	32.0	19.94871794871795	0.9285000000000079	32
39	13.0	19.775	0.927200000000008	13
40	16.0	19.682926829268293	0.9256000000000082	16
41	33.0	20.0	0.9223000000000086	33
42	15.0	19.88372093023256	0.9208000000000087	15
43	19.0	19.863636363636363	0.9189000000000089	19
44	12.0	19.68888888888889	0.9177000000000091	12
45	23.0	19.76086956521739	0.9154000000000093	23
46	19.0	19.74468085106383	0.9135000000000095	19
47	10.0	19.541666666666668	0.9125000000000096	10
48	14.0	19.428571428571427	0.9111000000000098	14
49	26.0	19.56	0.9085000000000101	26
50	26.0	19.686274509803923	0.9059000000000104	26
51	22.0	19.73076923076923	0.9037000000000106	22
52	33.0	19.9811320754717	0.900400000000011	33
53	20.0	19.98148148148148	0.8984000000000112	20
54	37.0	20.29090909090909	0.8947000000000116	37
55	11.0	20.125	0.8936000000000117	11
56	26.0	20.228070175438596	0.891000000000012	26
57	16.0	20.155172413793103	0.8894000000000122	16
58	27.0	20.271186440677965	0.8867000000000125	27
59	17.0	20.216666666666665	0.8850000000000127	17
60	20.0	20.21311475409836	0.8830000000000129	20
