	Rewards	Avg_Rewards	Loss	Steps
0	-161.45682198925	-161.45682198925	0.5511384010314941	108
1	-290.0375228966966	-225.7471724429733	-2.3044633865356445	120
2	-279.21905816322635	-243.5711343497243	0.08536434173583984	71
3	-220.9872531256137	-237.92516404369667	-4.445219993591309	85
4	-53.47091993742288	-201.0343152224419	-1.0364744663238525	106
5	-196.776996507035	-200.3247621032074	-0.0499720573425293	109
6	-65.15562219308251	-181.01488497318957	2.3634116649627686	55
7	-216.7241839246043	-185.47854734211643	-1.4894298315048218	119
8	-142.42700275222688	-180.69504238768425	-0.06696701049804688	58
9	-88.16320932956982	-171.4418590818728	3.1640713214874268	106
10	-181.46963173325662	-172.35347477745316	0.21533966064453125	116
11	-123.58985194988578	-168.28983954182254	1.7014656066894531	63
12	-358.2950341455343	-182.90562374210805	0.18206787109375	114
13	-97.44424473818813	-176.80123952754232	4.115716934204102	63
14	-103.78683544557074	-171.93361258874424	-2.20023775100708	54
15	-86.065409550601	-166.5668498988603	1.7053842544555664	62
16	-98.48698220476247	-162.5621517992075	0.6032571792602539	66
17	-88.9108401025556	-158.47041226050462	0.9999189376831055	61
18	-118.60529350868455	-156.372248115672	2.2455623149871826	59
19	-138.28007978538545	-155.46763969915767	-1.7667903900146484	65
20	-90.75158716817764	-152.38592291196815	-2.3812313079833984	61
21	-148.0422329263626	-152.18848245807698	0.4883551597595215	76
22	-94.13089280158485	-149.66423942953384	0.3092160224914551	112
23	-123.3042087865919	-148.56590481941123	-1.959909200668335	69
24	-178.1538398965736	-149.7494222224977	-3.3918890953063965	66
25	-157.06161703556083	-150.0306604845386	-2.0478029251098633	123
26	-165.84049154943125	-150.61620978323833	-1.8216118812561035	117
27	-229.81864701503793	-153.44486825580262	-2.763551712036133	136
28	-61.977082735929386	-150.29080668615183	-3.2279863357543945	92
29	-43.65070230208505	-146.73613654001625	-1.0906624794006348	98
30	-163.67769791802408	-147.282638519952	-5.648242950439453	102
31	-153.9483885366618	-147.49094320797417	-0.38365840911865234	108
32	-345.2989115105919	-153.48512406562926	3.5128321647644043	177
33	-216.2865242509879	-155.332224071081	-3.7783141136169434	152
34	-570.3904927142786	-167.1910317466009	12.706987380981445	222
35	-69.96979794685171	-164.4904419188301	5.146816253662109	156
36	-319.69010275078404	-168.68502734672074	0.8016674518585205	115
37	-194.4407213583763	-169.3628087680801	-2.545261859893799	85
38	-82.75846891841661	-167.14218466937078	1.310006856918335	75
39	-59.280046908867014	-164.44563122535817	0.19508981704711914	81
40	-230.85579140128252	-166.065391229649	1.3725836277008057	141
41	-174.49592793457407	-166.26611829405198	-2.294269561767578	119
42	-317.5927958036425	-169.78534335241457	0.9381299018859863	157
43	-198.2441818842818	-170.43213513722972	0.9123983383178711	142
44	-221.82613785241367	-171.57422408645604	9.473564147949219	162
45	-51.336508668532275	-168.96036070780553	-6.241720199584961	126
46	-101.89445924026003	-167.53342663402796	-0.9986438751220703	76
47	-354.981442267606	-171.43859362639418	-4.276585102081299	168
48	-269.0997341157829	-173.43167812617762	5.249268531799316	119
49	-97.55094199581652	-171.9140634035704	-0.18889784812927246	81
50	-48.29137222270735	-169.49008906669073	-3.427880048751831	81
51	-92.78050207579243	-168.01490470148116	1.2853055000305176	74
52	-102.79502406600729	-166.78434091590617	3.2647407054901123	131
53	-30.027419665601798	-164.25180533719683	0.8114292621612549	164
54	-96.0222886509756	-163.01126867017464	-2.736382007598877	100
55	-86.18012204478003	-161.63928390900688	-1.7498056888580322	88
56	-61.247649435654964	-159.87802716386034	-0.6330652236938477	76
57	-88.3795801914335	-158.64529531950814	-1.8681920766830444	105
58	-150.34699157838776	-158.50464610355695	-6.426658630371094	149
59	-82.63201375605689	-157.2401022310986	3.8237671852111816	74
60	-129.82639713189644	-156.79069722947233	-3.6528279781341553	115
61	-172.72588667764143	-157.0477164141202	-5.313676357269287	93
62	-128.0412556551976	-156.58729640207383	-3.093672752380371	83
63	6.708977802634308	-154.03579211762528	-2.3222475051879883	130
64	-374.9465269367851	-157.43441880715082	-13.870292663574219	155
65	-68.20285702833637	-156.08242544686573	-6.666180610656738	98
66	-10.670905891362665	-153.91210425947017	8.620269775390625	148
67	-159.2538382411253	-153.9906591709651	1.530245304107666	174
68	-126.02431740146508	-153.58534986995784	1.2571126222610474	105
69	-119.27314065177515	-153.09517545255525	-0.7834148406982422	134
70	-104.85554176774264	-152.4157439922058	-5.089144706726074	200
71	-29.263193056763782	-150.70529189588018	0.480985164642334	137
72	-346.23964079825157	-153.38384462057022	-6.2078351974487305	232
73	-159.6246592230714	-153.46817995303644	2.436166286468506	115
74	-132.20617621547484	-153.18468656986897	-4.269436836242676	160
75	-307.2547648209796	-155.2119244415941	-5.718461513519287	196
76	-70.67433341450078	-154.11403364903447	-2.5777339935302734	85
77	-91.2404740639635	-153.30796237230277	-4.411633491516113	112
78	-87.35642464730938	-152.47313278084715	-1.4740400314331055	142
