	Rewards	Avg_Rewards	Epsilon	Steps
0	18.0	18.0	1.0	18
1	20.0	19.0	1.0	20
2	22.0	20.0	1.0	22
3	11.0	17.75	0.9992000000000001	11
4	12.0	16.6	0.9980000000000002	12
5	36.0	19.833333333333332	0.9944000000000006	36
6	18.0	19.571428571428573	0.9926000000000008	18
7	15.0	19.0	0.991100000000001	15
8	25.0	19.666666666666668	0.9886000000000013	25
9	19.0	19.6	0.9867000000000015	19
10	18.0	19.454545454545453	0.9849000000000017	18
11	17.0	19.25	0.9832000000000019	17
12	13.0	18.76923076923077	0.981900000000002	13
13	29.0	19.5	0.9790000000000023	29
14	22.0	19.666666666666668	0.9768000000000026	22
15	25.0	20.0	0.9743000000000028	25
16	37.0	21.0	0.9706000000000032	37
17	24.0	21.166666666666668	0.9682000000000035	24
18	21.0	21.157894736842106	0.9661000000000037	21
19	23.0	21.25	0.963800000000004	23
20	19.0	21.142857142857142	0.9619000000000042	19
21	46.0	22.272727272727273	0.9573000000000047	46
22	13.0	21.869565217391305	0.9560000000000048	13
23	30.0	22.208333333333332	0.9530000000000052	30
24	16.0	21.96	0.9514000000000054	16
25	12.0	21.576923076923077	0.9502000000000055	12
26	23.0	21.62962962962963	0.9479000000000057	23
27	24.0	21.714285714285715	0.945500000000006	24
28	14.0	21.448275862068964	0.9441000000000062	14
29	23.0	21.5	0.9418000000000064	23
30	20.0	21.451612903225808	0.9398000000000066	20
31	31.0	21.75	0.936700000000007	31
32	28.0	21.939393939393938	0.9339000000000073	28
33	41.0	22.5	0.9298000000000077	41
34	20.0	22.428571428571427	0.927800000000008	20
35	16.0	22.25	0.9262000000000081	16
36	18.0	22.135135135135137	0.9244000000000083	18
37	19.0	22.05263157894737	0.9225000000000085	19
38	19.0	21.974358974358974	0.9206000000000087	19
39	24.0	22.025	0.918200000000009	24
40	34.0	22.317073170731707	0.9148000000000094	34
41	34.0	22.595238095238095	0.9114000000000098	34
42	12.0	22.348837209302324	0.9102000000000099	12
43	14.0	22.15909090909091	0.90880000000001	14
44	16.0	22.022222222222222	0.9072000000000102	16
45	35.0	22.304347826086957	0.9037000000000106	35
46	24.0	22.340425531914892	0.9013000000000109	24
47	12.0	22.125	0.900100000000011	12
48	12.0	21.918367346938776	0.8989000000000111	12
49	31.0	22.1	0.8958000000000115	31
50	25.0	22.15686274509804	0.8933000000000118	25
51	25.0	22.21153846153846	0.890800000000012	25
52	18.0	22.132075471698112	0.8890000000000122	18
53	32.0	22.314814814814813	0.8858000000000126	32
54	30.0	22.454545454545453	0.8828000000000129	30
55	16.0	22.339285714285715	0.8812000000000131	16
56	23.0	22.350877192982455	0.8789000000000133	23
57	14.0	22.20689655172414	0.8775000000000135	14
58	35.0	22.423728813559322	0.8740000000000139	35
59	14.0	22.283333333333335	0.872600000000014	14
60	13.0	22.131147540983605	0.8713000000000142	13
61	24.0	22.161290322580644	0.8689000000000144	24
62	17.0	22.07936507936508	0.8672000000000146	17
63	17.0	22.0	0.8655000000000148	17
64	46.0	22.369230769230768	0.8609000000000153	46
65	12.0	22.21212121212121	0.8597000000000155	12
66	16.0	22.119402985074625	0.8581000000000156	16
67	54.0	22.58823529411765	0.8527000000000162	54
68	13.0	22.44927536231884	0.8514000000000164	13
69	27.0	22.514285714285716	0.8487000000000167	27
70	32.0	22.64788732394366	0.845500000000017	32
71	36.0	22.833333333333332	0.8419000000000174	36
72	32.0	22.958904109589042	0.8387000000000178	32
73	16.0	22.864864864864863	0.8371000000000179	16
74	16.0	22.773333333333333	0.8355000000000181	16
75	18.0	22.710526315789473	0.8337000000000183	18
76	76.0	23.4025974025974	0.8261000000000192	76
77	31.0	23.5	0.8230000000000195	31
78	29.0	23.569620253164558	0.8201000000000198	29
79	35.0	23.7125	0.8166000000000202	35
80	42.0	23.938271604938272	0.8124000000000207	42
81	37.0	24.097560975609756	0.8087000000000211	37
82	62.0	24.55421686746988	0.8025000000000218	62
83	39.0	24.726190476190474	0.7986000000000222	39
84	18.0	24.647058823529413	0.7968000000000224	18
85	20.0	24.593023255813954	0.7948000000000226	20
86	32.0	24.67816091954023	0.791600000000023	32
87	36.0	24.806818181818183	0.7880000000000233	36
88	65.0	25.258426966292134	0.7815000000000241	65
89	61.0	25.655555555555555	0.7754000000000247	61
90	18.0	25.571428571428573	0.7736000000000249	18
91	22.0	25.532608695652176	0.7714000000000252	22
92	32.0	25.602150537634408	0.7682000000000255	32
93	21.0	25.5531914893617	0.7661000000000258	21
94	20.0	25.49473684210526	0.764100000000026	20
95	28.0	25.520833333333332	0.7613000000000263	28
96	64.0	25.917525773195877	0.754900000000027	64
97	64.0	26.306122448979593	0.7485000000000277	64
98	35.0	26.393939393939394	0.7450000000000281	35
99	9.0	26.22	0.7441000000000282	9
100	17.0	26.21	0.7424000000000284	17
101	17.0	26.18	0.7407000000000286	17
102	40.0	26.36	0.736700000000029	40
103	27.0	26.52	0.7340000000000293	27
104	38.0	26.78	0.7302000000000297	38
105	17.0	26.59	0.7285000000000299	17
106	9.0	26.5	0.72760000000003	9
107	22.0	26.57	0.7254000000000302	22
108	14.0	26.46	0.7240000000000304	14
109	51.0	26.78	0.718900000000031	51
110	54.0	27.14	0.7135000000000316	54
111	13.0	27.1	0.7122000000000317	13
112	32.0	27.29	0.709000000000032	32
113	64.0	27.64	0.7026000000000328	64
114	12.0	27.54	0.7014000000000329	12
115	34.0	27.63	0.6980000000000333	34
116	73.0	27.99	0.6907000000000341	73
117	52.0	28.27	0.6855000000000346	52
118	80.0	28.86	0.6775000000000355	80
119	18.0	28.81	0.6757000000000357	18
120	38.0	29.0	0.6719000000000361	38
121	21.0	28.75	0.6698000000000364	21
122	37.0	28.99	0.6661000000000368	37
123	52.0	29.21	0.6609000000000373	52
124	52.0	29.57	0.6557000000000379	52
125	26.0	29.71	0.6531000000000382	26
126	104.0	30.52	0.6427000000000394	104
127	103.0	31.31	0.6324000000000405	103
128	147.0	32.64	0.6177000000000421	147
129	53.0	32.94	0.6124000000000427	53
130	96.0	33.7	0.6028000000000437	96
131	125.0	34.64	0.5903000000000451	125
132	83.0	35.19	0.582000000000046	83
133	109.0	35.87	0.5711000000000472	109
134	121.0	36.88	0.5590000000000486	121
135	40.0	37.12	0.555000000000049	40
136	193.0	38.87	0.5357000000000511	193
137	162.0	40.3	0.5195000000000529	162
138	48.0	40.59	0.5147000000000534	48
139	123.0	41.58	0.5024000000000548	123
140	27.0	41.51	0.4997000000000551	27
141	73.0	41.9	0.4924000000000559	73
142	104.0	42.82	0.48200000000005705	104
143	44.0	43.12	0.47760000000005753	44
144	91.0	43.87	0.46850000000005854	91
145	160.0	45.12	0.4525000000000603	160
146	152.0	46.4	0.437300000000062	152
147	210.0	48.38	0.4163000000000643	210
148	139.0	49.65	0.4024000000000658	139
149	171.0	51.05	0.3853000000000677	171
150	170.0	52.5	0.36830000000006957	170
151	153.0	53.78	0.35300000000007126	153
152	248.0	56.08	0.328200000000074	248
153	253.0	58.29	0.3029000000000768	253
154	143.0	59.42	0.28860000000007835	143
155	199.0	61.25	0.26870000000008054	199
156	171.0	62.73	0.2516000000000824	171
157	262.0	65.21	0.2254000000000853	262
158	209.0	66.95	0.2045000000000876	209
159	204.0	68.85	0.18410000000008986	204
160	299.0	71.71	0.15420000000009315	299
161	194.0	73.41	0.1348000000000953	194
162	178.0	75.02	0.11700000000009614	178
163	198.0	76.83	0.09720000000009557	198
164	187.0	78.24	0.07850000000009504	187
165	184.0	79.96	0.06010000000009451	184
166	162.0	81.42	0.043900000000094044	162
167	240.0	83.28	0.019900000000093752	240
168	173.0	84.88	0.01	173
169	235.0	86.96	0.01	235
170	188.0	88.52	0.01	188
171	195.0	90.11	0.01	195
172	196.0	91.75	0.01	196
173	236.0	93.95	0.01	236
174	177.0	95.56	0.01	177
175	177.0	97.15	0.01	177
176	174.0	98.13	0.01	174
177	186.0	99.68	0.01	186
178	163.0	101.02	0.01	163
179	331.0	103.98	0.01	331
180	175.0	105.31	0.01	175
181	154.0	106.48	0.01	154
182	215.0	108.01	0.01	215
183	176.0	109.38	0.01	176
184	247.0	111.67	0.01	247
185	183.0	113.3	0.01	183
186	281.0	115.79	0.01	281
187	304.0	118.47	0.01	304
188	184.0	119.66	0.01	184
189	240.0	121.45	0.01	240
190	193.0	123.2	0.01	193
191	216.0	125.14	0.01	216
192	251.0	127.33	0.01	251
193	165.0	128.77	0.01	165
194	221.0	130.78	0.01	221
195	175.0	132.25	0.01	175
196	224.0	133.85	0.01	224
197	166.0	134.87	0.01	166
198	169.0	136.21	0.01	169
199	184.0	137.96	0.01	184
200	218.0	139.97	0.01	218
201	212.0	141.92	0.01	212
202	155.0	143.07	0.01	155
203	211.0	144.91	0.01	211
204	206.0	146.59	0.01	206
205	191.0	148.33	0.01	191
206	203.0	150.27	0.01	203
207	194.0	151.99	0.01	194
208	170.0	153.55	0.01	170
209	174.0	154.78	0.01	174
210	194.0	156.18	0.01	194
211	185.0	157.9	0.01	185
212	176.0	159.34	0.01	176
213	160.0	160.3	0.01	160
214	180.0	161.98	0.01	180
215	208.0	163.72	0.01	208
216	201.0	165.0	0.01	201
217	249.0	166.97	0.01	249
218	173.0	167.9	0.01	173
219	259.0	170.31	0.01	259
220	180.0	171.73	0.01	180
221	178.0	173.3	0.01	178
222	175.0	174.68	0.01	175
223	164.0	175.8	0.01	164
224	249.0	177.77	0.01	249
225	158.0	179.09	0.01	158
226	213.0	180.18	0.01	213
227	178.0	180.93	0.01	178
228	226.0	181.72	0.01	226
229	178.0	182.97	0.01	178
230	201.0	184.02	0.01	201
231	124.0	184.01	0.01	124
232	146.0	184.64	0.01	146
233	208.0	185.63	0.01	208
234	171.0	186.13	0.01	171
235	141.0	187.14	0.01	141
236	227.0	187.48	0.01	227
237	229.0	188.15	0.01	229
238	170.0	189.37	0.01	170
239	204.0	190.18	0.01	204
240	137.0	191.28	0.01	137
241	223.0	192.78	0.01	223
242	161.0	193.35	0.01	161
243	157.0	194.48	0.01	157
244	181.0	195.38	0.01	181
245	186.0	195.64	0.01	186
246	130.0	195.42	0.01	130
247	236.0	195.68	0.01	236
248	117.0	195.46	0.01	117
249	229.0	196.04	0.01	229
250	185.0	196.19	0.01	185
251	126.0	195.92	0.01	126
252	182.0	195.26	0.01	182
253	157.0	194.3	0.01	157
254	147.0	194.34	0.01	147
255	180.0	194.15	0.01	180
256	115.0	193.59	0.01	115
257	208.0	193.05	0.01	208
258	224.0	193.2	0.01	224
259	220.0	193.36	0.01	220
260	151.0	191.88	0.01	151
261	265.0	192.59	0.01	265
262	177.0	192.58	0.01	177
263	168.0	192.28	0.01	168
264	171.0	192.12	0.01	171
265	151.0	191.79	0.01	151
266	259.0	192.76	0.01	259
267	158.0	191.94	0.01	158
268	147.0	191.68	0.01	147
269	191.0	191.24	0.01	191
270	245.0	191.81	0.01	245
271	127.0	191.13	0.01	127
272	167.0	190.84	0.01	167
273	125.0	189.73	0.01	125
274	130.0	189.26	0.01	130
275	127.0	188.76	0.01	127
276	149.0	188.51	0.01	149
277	157.0	188.22	0.01	157
278	206.0	188.65	0.01	206
279	214.0	187.48	0.01	214
280	122.0	186.95	0.01	122
281	237.0	187.78	0.01	237
282	112.0	186.75	0.01	112
