	Rewards	Avg_Rewards	Epsilon	Steps
0	39.0	39.0	1.0	39
1	28.0	33.5	0.9996	28
2	57.0	41.333333333333336	0.9939000000000007	57
3	37.0	40.25	0.9902000000000011	37
4	21.0	36.4	0.9881000000000013	21
5	20.0	33.666666666666664	0.9861000000000015	20
6	20.0	31.714285714285715	0.9841000000000018	20
7	14.0	29.5	0.9827000000000019	14
8	22.0	28.666666666666668	0.9805000000000021	22
9	11.0	26.9	0.9794000000000023	11
10	15.0	25.818181818181817	0.9779000000000024	15
11	13.0	24.75	0.9766000000000026	13
12	21.0	24.46153846153846	0.9745000000000028	21
13	10.0	23.428571428571427	0.9735000000000029	10
14	25.0	23.533333333333335	0.9710000000000032	25
15	23.0	23.5	0.9687000000000034	23
16	24.0	23.529411764705884	0.9663000000000037	24
17	57.0	25.38888888888889	0.9606000000000043	57
18	21.0	25.157894736842106	0.9585000000000046	21
19	11.0	24.45	0.9574000000000047	11
20	17.0	24.095238095238095	0.9557000000000049	17
21	18.0	23.818181818181817	0.9539000000000051	18
22	11.0	23.26086956521739	0.9528000000000052	11
23	36.0	23.791666666666668	0.9492000000000056	36
24	49.0	24.8	0.9443000000000061	49
25	22.0	24.692307692307693	0.9421000000000064	22
26	18.0	24.444444444444443	0.9403000000000066	18
27	28.0	24.571428571428573	0.9375000000000069	28
28	19.0	24.379310344827587	0.9356000000000071	19
29	32.0	24.633333333333333	0.9324000000000074	32
30	16.0	24.35483870967742	0.9308000000000076	16
31	11.0	23.9375	0.9297000000000077	11
32	10.0	23.515151515151516	0.9287000000000079	10
33	23.0	23.5	0.9264000000000081	23
34	19.0	23.37142857142857	0.9245000000000083	19
35	31.0	23.583333333333332	0.9214000000000087	31
36	24.0	23.594594594594593	0.9190000000000089	24
37	18.0	23.44736842105263	0.9172000000000091	18
38	21.0	23.384615384615383	0.9151000000000094	21
39	19.0	23.275	0.9132000000000096	19
40	110.0	25.390243902439025	0.9022000000000108	110
41	17.0	25.19047619047619	0.900500000000011	17
42	24.0	25.162790697674417	0.8981000000000112	24
43	38.0	25.454545454545453	0.8943000000000116	38
44	11.0	25.133333333333333	0.8932000000000118	11
45	14.0	24.891304347826086	0.8918000000000119	14
46	46.0	25.340425531914892	0.8872000000000124	46
47	29.0	25.416666666666668	0.8843000000000127	29
48	27.0	25.448979591836736	0.881600000000013	27
49	13.0	25.2	0.8803000000000132	13
50	19.0	25.07843137254902	0.8784000000000134	19
51	24.0	25.057692307692307	0.8760000000000137	24
52	19.0	24.943396226415093	0.8741000000000139	19
53	35.0	25.12962962962963	0.8706000000000143	35
54	49.0	25.563636363636363	0.8657000000000148	49
55	18.0	25.428571428571427	0.863900000000015	18
56	10.0	25.157894736842106	0.8629000000000151	10
57	36.0	25.344827586206897	0.8593000000000155	36
58	23.0	25.305084745762713	0.8570000000000157	23
59	36.0	25.483333333333334	0.8534000000000161	36
60	75.0	26.295081967213115	0.845900000000017	75
61	20.0	26.193548387096776	0.8439000000000172	20
62	19.0	26.07936507936508	0.8420000000000174	19
63	9.0	25.8125	0.8411000000000175	9
64	19.0	25.70769230769231	0.8392000000000177	19
65	17.0	25.575757575757574	0.8375000000000179	17
66	17.0	25.44776119402985	0.8358000000000181	17
67	13.0	25.264705882352942	0.8345000000000182	13
68	19.0	25.17391304347826	0.8326000000000184	19
69	26.0	25.185714285714287	0.8300000000000187	26
70	63.0	25.718309859154928	0.8237000000000194	63
71	28.0	25.75	0.8209000000000197	28
72	32.0	25.835616438356166	0.8177000000000201	32
73	25.0	25.824324324324323	0.8152000000000204	25
74	38.0	25.986666666666668	0.8114000000000208	38
75	24.0	25.960526315789473	0.809000000000021	24
